      Time   ANCHTEN1   ANCHTEN2   ANCHTEN3   FAIRTEN1   FAIRTEN2   FAIRTEN3
       (s)        (N)        (N)        (N)        (N)        (N)        (N)
    0.0000 0.134762E+07 0.134766E+07 0.134766E+07 0.243587E+07 0.243591E+07 0.243591E+07
    0.0125 0.134768E+07 0.134772E+07 0.134772E+07 0.243288E+07 0.244130E+07 0.243776E+07
    0.0250 0.134776E+07 0.134780E+07 0.134780E+07 0.243284E+07 0.244174E+07 0.243807E+07
    0.0375 0.134784E+07 0.134788E+07 0.134788E+07 0.243217E+07 0.244363E+07 0.243893E+07
    0.0500 0.134794E+07 0.134798E+07 0.134798E+07 0.243212E+07 0.244488E+07 0.243975E+07
    0.0625 0.134804E+07 0.134808E+07 0.134808E+07 0.243287E+07 0.244528E+07 0.244043E+07
    0.0750 0.134815E+07 0.134819E+07 0.134819E+07 0.243458E+07 0.244463E+07 0.244093E+07
    0.0875 0.134826E+07 0.134831E+07 0.134831E+07 0.243733E+07 0.244287E+07 0.244123E+07
    0.1000 0.134839E+07 0.134843E+07 0.134843E+07 0.244116E+07 0.243996E+07 0.244128E+07
    0.1125 0.134852E+07 0.134856E+07 0.134856E+07 0.244605E+07 0.243596E+07 0.244106E+07
    0.1250 0.134866E+07 0.134870E+07 0.134870E+07 0.245194E+07 0.243094E+07 0.244056E+07
    0.1375 0.134881E+07 0.134885E+07 0.134885E+07 0.245872E+07 0.242505E+07 0.243975E+07
    0.1500 0.134896E+07 0.134900E+07 0.134900E+07 0.246624E+07 0.241848E+07 0.243864E+07
    0.1625 0.134912E+07 0.134916E+07 0.134916E+07 0.247430E+07 0.241144E+07 0.243724E+07
    0.1750 0.134929E+07 0.134933E+07 0.134933E+07 0.248271E+07 0.240419E+07 0.243555E+07
    0.1875 0.134946E+07 0.134950E+07 0.134950E+07 0.249122E+07 0.239696E+07 0.243362E+07
    0.2000 0.134963E+07 0.134968E+07 0.134968E+07 0.249959E+07 0.239003E+07 0.243148E+07
    0.2125 0.134982E+07 0.134986E+07 0.134986E+07 0.250758E+07 0.238363E+07 0.242919E+07
    0.2250 0.135000E+07 0.135004E+07 0.135004E+07 0.251495E+07 0.237799E+07 0.242680E+07
    0.2375 0.135019E+07 0.135023E+07 0.135023E+07 0.252149E+07 0.237328E+07 0.242439E+07
    0.2500 0.135038E+07 0.135043E+07 0.135043E+07 0.252702E+07 0.236967E+07 0.242204E+07
    0.2625 0.135057E+07 0.135064E+07 0.135063E+07 0.253139E+07 0.236725E+07 0.241983E+07
    0.2750 0.135075E+07 0.135087E+07 0.135084E+07 0.253447E+07 0.236607E+07 0.241784E+07
    0.2875 0.135091E+07 0.135114E+07 0.135106E+07 0.253621E+07 0.236614E+07 0.241614E+07
    0.3000 0.135104E+07 0.135148E+07 0.135132E+07 0.253659E+07 0.236740E+07 0.241481E+07
    0.3125 0.135112E+07 0.135193E+07 0.135161E+07 0.253562E+07 0.236978E+07 0.241392E+07
    0.3250 0.135113E+07 0.135252E+07 0.135196E+07 0.253338E+07 0.237313E+07 0.241350E+07
    0.3375 0.135108E+07 0.135328E+07 0.135239E+07 0.252997E+07 0.237729E+07 0.241359E+07
