------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.845487405219716e-01  2.000195662801704e+01  4.500000000000000e+00        1
 3.442283870453416e+00  1.108751918121434e-02 -1.035075145419118e-02  8.266175792149341e-02  1.869281515590605e+01  4.516534551546473e+00        2
 6.884567740906832e+00  9.932499032353923e-03 -1.363007953027075e-01  1.689356866497457e-02  1.723775189586749e+01  4.592554552493484e+00        3
 1.032685161136025e+01  1.311742290471547e-02 -3.391289680356246e-01  1.643235047549106e-01  1.565295516552572e+01  4.720268647024349e+00        4
 1.376913548181366e+01  2.967731721336922e-02 -5.818143902367762e-01  6.337176914916933e-01  1.395461328250509e+01  4.750000000000000e+00        5
 1.721141935226708e+01  8.926235816627548e-02 -7.276104617170055e-01  1.272118854849098e+00  1.179009052949377e+01  4.750000000000000e+00        6
 2.065370322272049e+01  1.825204929082783e-01 -7.397157874497017e-01  1.401722798947511e+00  9.030646264023996e+00  4.750000000000000e+00        7
 2.409598709317391e+01  2.576742905672226e-01 -7.441639058977190e-01  9.222637160631348e-01  6.514452703039312e+00  4.750000000000000e+00        8
 2.753827096362732e+01  2.933334166448067e-01 -7.460431541901614e-01  2.025619577954355e-01  5.092767547617353e+00  4.750000000000000e+00        9
 3.098055483408073e+01  2.820137554802602e-01 -7.483290572805352e-01 -3.852014424692228e-01  5.007781203147269e+00  4.750000000000000e+00       10
 3.442283870453416e+01  2.470485860773456e-01 -7.692592360725955e-01 -6.887728632816288e-01  5.011682596238479e+00  4.750000000000000e+00       11
 3.786512257498757e+01  1.992539210666094e-01 -7.701827784028554e-01 -8.629828267800248e-01  5.016386430611917e+00  4.700000000000000e+00       12
 4.130740644544099e+01  1.433578929148601e-01 -7.686369291416089e-01 -9.881609970340791e-01  5.019645870677343e+00  4.640000000000000e+00       13
 4.474969031589440e+01  8.052398795402406e-02 -6.913935973843578e-01 -1.439634485598202e+00  4.955933183905627e+00  4.480000000000000e+00       14
 4.991311612157452e+01 -7.284953041694353e-02 -6.118569007998027e-01 -1.766507804283408e+00  4.345702901753931e+00  4.194552966666058e+00       15
 5.163425805680122e+01 -1.317030919773861e-01 -5.765497058781178e-01 -2.148810308764255e+00  4.062682788269900e+00  4.071095673436996e+00       16
 5.507654192725465e+01 -2.664523036936777e-01 -5.119138825059666e-01 -2.389240132440881e+00  3.502062737293423e+00  3.830786554698718e+00       17
 5.851882579770805e+01 -4.187071075799482e-01 -4.601727118400938e-01 -2.820339687161614e+00  3.056263371539652e+00  3.593777870237168e+00       18
 6.196110966816147e+01 -6.052028977063619e-01 -4.144254967455955e-01 -3.346172801440117e+00  2.683718655202754e+00  3.353572396827501e+00       19
 6.540339353861488e+01 -8.205492704308603e-01 -3.776868918738919e-01 -3.760528758996958e+00  2.313326944439679e+00  3.109726809552745e+00       20
 6.884567740906832e+01 -1.056737573601245e+00 -3.505615118185617e-01 -3.984161173658914e+00  1.889934789247136e+00  2.863949052774271e+00       21
 7.228796127952172e+01 -1.298893889354535e+00 -3.257402877863188e-01 -4.247894799692893e+00  1.350028708204907e+00  2.617804574163026e+00       22
 7.573024514997515e+01 -1.566690232322394e+00 -3.063781669937840e-01 -4.649815533078156e+00  5.536320221223768e-01  2.372555490428877e+00       23
 7.917252902042856e+01 -1.856995079851494e+00 -2.855827619474679e-01 -4.980475338042832e+00 -4.094343828779023e-01  2.125366078442611e+00       24
 8.261481289088198e+01 -2.164382688272364e+00 -2.613982907628069e-01 -5.270111763642302e+00 -1.378770006800686e+00  1.873608174226736e+00       25
 8.605709676133537e+01 -2.489350592116053e+00 -2.353469754522738e-01 -5.570804244581776e+00 -2.196615098977884e+00  1.613397704590236e+00       26
 8.949938063178880e+01 -2.832707313259266e+00 -2.104139690847000e-01 -5.906276431736738e+00 -2.896995911582864e+00  1.345514466000822e+00       27
 9.294166450224219e+01 -3.197782941521690e+00 -1.892683691540286e-01 -6.216189069464403e+00 -3.548985000848492e+00  1.070504482493432e+00       28
 9.483492063099158e+01 -3.410440925172936e+00 -1.783221911595591e-01 -6.598583389318286e+00 -3.884458784269118e+00  9.160029042694897e-01       29
 9.982623224314905e+01 -3.988906450229939e+00 -1.355467932246986e-01 -6.655220670774449e+00 -4.678827678412275e+00  5.000000000000002e-01       30
